ID,Married Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Age Brakets,Purchased Bike
24305,Single,Male,100000,1,Bachelors,Management,No,3,0-1 Miles,Pacific,46,Middle Age,Yes
16549,Single,Female,30000,3,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,Middle Age,Yes
17964,Married,Male,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Middle Age,Yes
20919,Single,Female,30000,2,Partial College,Clerical,Yes,2,0-1 Miles,Europe,42,Middle Age,No
20927,Single,Female,20000,5,High School,Manual,Yes,2,0-1 Miles,Europe,27,Adolocense,No
11149,Married,Male,40000,2,Bachelors,Management,Yes,2,0-1 Miles,Pacific,65,Old,No
17754,Single,Female,30000,3,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,46,Middle Age,Yes
21039,Single,Female,50000,0,Graduate Degree,Skilled Manual,No,0,0-1 Miles,Europe,37,Middle Age,Yes
12231,Single,Female,10000,2,Partial College,Manual,Yes,0,0-1 Miles,Europe,51,Middle Age,Yes
19331,Single,Male,20000,2,High School,Manual,Yes,1,0-1 Miles,Europe,40,Middle Age,No
24061,Married,Male,10000,4,Partial High School,Manual,Yes,1,0-1 Miles,Europe,40,Middle Age,Yes
14791,Married,Female,40000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,39,Middle Age,Yes
12284,Married,Female,30000,0,Bachelors,Clerical,No,0,0-1 Miles,Europe,36,Middle Age,Yes
26654,Married,Female,90000,1,Graduate Degree,Management,Yes,0,0-1 Miles,Pacific,37,Middle Age,Yes
13089,Married,Female,120000,1,Bachelors,Management,Yes,2,0-1 Miles,Pacific,46,Middle Age,Yes
24201,Married,Female,10000,2,High School,Manual,Yes,0,0-1 Miles,Europe,37,Middle Age,Yes
12236,Married,Female,20000,1,Partial College,Manual,Yes,0,0-1 Miles,Europe,65,Old,No
16390,Single,Male,30000,1,Bachelors,Clerical,No,0,0-1 Miles,Europe,38,Middle Age,Yes
14804,Single,Female,10000,3,Partial High School,Manual,Yes,2,0-1 Miles,Europe,43,Middle Age,No
12629,Single,Male,20000,1,Partial College,Manual,No,0,0-1 Miles,Europe,37,Middle Age,No
14696,Single,Male,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,34,Middle Age,No
20277,Married,Female,30000,2,Partial College,Clerical,No,2,0-1 Miles,Pacific,69,Old,No
14544,Single,Male,10000,1,Partial College,Manual,Yes,0,0-1 Miles,Europe,49,Middle Age,No
11585,Married,Female,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,41,Middle Age,No
16559,Single,Female,10000,2,High School,Manual,Yes,0,0-1 Miles,Europe,36,Middle Age,Yes
24187,Single,Female,30000,3,Graduate Degree,Clerical,No,0,0-1 Miles,Europe,46,Middle Age,Yes
12497,Married,Female,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,Middle Age,No
11383,Married,Female,30000,3,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,46,Middle Age,No
28319,Single,Female,60000,1,Partial College,Skilled Manual,No,1,0-1 Miles,Pacific,46,Middle Age,Yes
16406,Married,Male,40000,0,Bachelors,Clerical,No,0,0-1 Miles,Europe,38,Middle Age,Yes
20923,Married,Female,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,Middle Age,Yes
21108,Married,Female,40000,1,Bachelors,Skilled Manual,Yes,1,0-1 Miles,Europe,43,Middle Age,Yes
26651,Single,Male,80000,4,Graduate Degree,Management,Yes,0,0-1 Miles,Pacific,36,Middle Age,Yes
19618,Married,Male,70000,5,Partial College,Skilled Manual,Yes,2,0-1 Miles,Pacific,44,Middle Age,No
26663,Single,Female,60000,2,Bachelors,Professional,No,1,0-1 Miles,Pacific,39,Middle Age,Yes
24093,Single,Female,80000,0,Graduate Degree,Skilled Manual,No,0,0-1 Miles,Europe,40,Middle Age,Yes
27824,Single,Female,30000,3,Partial College,Clerical,Yes,2,0-1 Miles,Europe,28,Adolocense,Yes
27814,Single,Female,30000,3,Partial College,Clerical,No,1,0-1 Miles,Europe,26,Adolocense,No
28488,Single,Male,20000,0,Partial College,Manual,Yes,0,0-1 Miles,Pacific,28,Adolocense,Yes
17926,Single,Female,40000,0,Bachelors,Clerical,No,0,0-1 Miles,Pacific,28,Adolocense,Yes
26928,Single,Male,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,62,Old,Yes
20897,Married,Female,30000,1,Bachelors,Skilled Manual,Yes,2,0-1 Miles,Europe,40,Middle Age,No
28207,Married,Male,80000,4,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,36,Middle Age,Yes
17048,Single,Female,90000,1,Graduate Degree,Management,Yes,0,0-1 Miles,Pacific,36,Middle Age,Yes
15822,Married,Male,40000,2,Bachelors,Management,Yes,2,0-1 Miles,Pacific,67,Old,No
20974,Married,Male,10000,2,Bachelors,Clerical,Yes,1,0-1 Miles,Europe,66,Old,No
14805,Single,Female,10000,3,Partial High School,Manual,Yes,2,0-1 Miles,Europe,43,Middle Age,No
19255,Single,Male,10000,2,Partial College,Manual,Yes,1,0-1 Miles,Europe,51,Middle Age,Yes
11576,Married,Male,30000,1,Bachelors,Skilled Manual,Yes,2,0-1 Miles,Europe,41,Middle Age,Yes
11897,Single,Male,60000,2,Bachelors,Professional,No,1,0-1 Miles,Pacific,37,Middle Age,Yes
13961,Married,Female,80000,5,Graduate Degree,Management,Yes,3,0-1 Miles,Pacific,40,Middle Age,No
17960,Married,Female,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,35,Middle Age,Yes
18740,Married,Male,80000,5,Bachelors,Professional,No,1,0-1 Miles,Pacific,47,Middle Age,Yes
20053,Single,Male,40000,2,Partial College,Clerical,Yes,0,0-1 Miles,Europe,34,Middle Age,No
20171,Married,Female,20000,2,Partial College,Manual,Yes,1,0-1 Miles,Europe,46,Middle Age,Yes
14154,Married,Male,30000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,35,Middle Age,Yes
22821,Married,Female,130000,3,Partial College,Professional,Yes,4,0-1 Miles,Europe,52,Middle Age,No
11386,Married,Female,30000,3,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,45,Middle Age,No
12744,Single,Female,40000,2,Partial College,Clerical,Yes,0,0-1 Miles,Europe,33,Middle Age,No
16675,Single,Female,160000,0,Graduate Degree,Management,No,3,0-1 Miles,Pacific,47,Middle Age,Yes
16410,Single,Female,10000,4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,41,Middle Age,Yes
27760,Single,Female,40000,0,Graduate Degree,Clerical,No,0,0-1 Miles,Europe,37,Middle Age,Yes
27582,Single,Female,90000,2,Bachelors,Professional,No,0,0-1 Miles,Pacific,36,Middle Age,Yes
23780,Single,Male,40000,2,Partial College,Clerical,No,2,0-1 Miles,Europe,36,Middle Age,Yes
20994,Married,Female,20000,0,Bachelors,Clerical,No,0,0-1 Miles,Pacific,26,Adolocense,Yes
28379,Married,Male,30000,1,Bachelors,Skilled Manual,Yes,2,0-1 Miles,Europe,40,Middle Age,No
18012,Married,Female,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,41,Middle Age,No
22439,Married,Female,30000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,37,Middle Age,Yes
17882,Married,Male,20000,1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,44,Middle Age,No
19508,Married,Male,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,30,Adolocense,No
22381,Married,Male,10000,1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,44,Middle Age,No
11555,Married,Female,40000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,80,Old,No
14926,Married,Male,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Middle Age,Yes
24369,Married,Male,80000,5,Graduate Degree,Management,No,2,0-1 Miles,Pacific,39,Middle Age,No
27165,Single,Male,20000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,34,Middle Age,No
29424,Married,Male,10000,0,Partial High School,Manual,Yes,2,0-1 Miles,Europe,32,Middle Age,No
17793,Married,Female,40000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Middle Age,Yes
14554,Married,Male,20000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,66,Old,No
24151,Single,Male,20000,1,Bachelors,Clerical,No,0,0-1 Miles,Europe,51,Middle Age,No
26150,Single,Female,70000,0,Bachelors,Professional,No,1,0-1 Miles,Pacific,41,Middle Age,Yes
12568,Married,Female,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,64,Old,No
18018,Single,Male,30000,3,Partial College,Clerical,Yes,0,0-1 Miles,Europe,43,Middle Age,No
12581,Single,Female,10000,0,Partial College,Manual,No,1,0-1 Miles,Pacific,28,Adolocense,Yes
17894,Married,Female,20000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,50,Middle Age,Yes
25651,Married,Male,40000,1,Bachelors,Skilled Manual,No,0,0-1 Miles,Europe,43,Middle Age,Yes
22936,Single,Female,60000,1,Partial College,Skilled Manual,No,1,0-1 Miles,Pacific,45,Middle Age,Yes
23915,Married,Male,20000,2,High School,Manual,Yes,2,0-1 Miles,Europe,42,Middle Age,No
24121,Single,Female,30000,0,Partial College,Clerical,No,1,0-1 Miles,Europe,29,Adolocense,Yes
27878,Single,Male,20000,0,Partial College,Manual,No,0,0-1 Miles,Pacific,28,Adolocense,Yes
13572,Single,Male,10000,3,High School,Manual,Yes,0,0-1 Miles,Europe,37,Middle Age,Yes
17978,Married,Male,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Middle Age,Yes
26354,Single,Male,40000,0,Graduate Degree,Clerical,No,0,0-1 Miles,Europe,38,Middle Age,Yes
20977,Married,Male,20000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,64,Old,Yes
15628,Married,Female,40000,1,Bachelors,Skilled Manual,Yes,1,0-1 Miles,Europe,89,Old,No
23608,Married,Female,150000,3,High School,Professional,Yes,3,0-1 Miles,Europe,51,Middle Age,Yes
12510,Married,Male,40000,1,Bachelors,Skilled Manual,Yes,1,0-1 Miles,Europe,43,Middle Age,Yes
22918,Single,Male,80000,5,Graduate Degree,Management,Yes,3,0-1 Miles,Pacific,50,Middle Age,No
25752,Single,Female,20000,2,Partial College,Manual,No,1,0-1 Miles,Europe,53,Middle Age,Yes
17310,Married,Male,60000,1,Partial College,Skilled Manual,Yes,1,0-1 Miles,Pacific,45,Middle Age,Yes
22518,Single,Female,30000,3,Partial College,Clerical,No,2,0-1 Miles,Europe,27,Adolocense,Yes
13687,Married,Male,40000,1,Bachelors,Skilled Manual,Yes,1,0-1 Miles,Europe,33,Middle Age,Yes
23571,Married,Female,40000,2,Bachelors,Management,Yes,2,0-1 Miles,Pacific,66,Old,Yes
19305,Single,Female,10000,2,High School,Manual,Yes,1,0-1 Miles,Europe,38,Middle Age,Yes
22636,Single,Female,40000,0,Bachelors,Clerical,No,0,0-1 Miles,Europe,38,Middle Age,Yes
